
Processing generation 421000; best fitness = 0.928106689372
Processing generation 422000; best fitness = 0.928108131259
Processing generation 423000; best fitness = 0.928108131259
Processing generation 424000; best fitness = 0.928109597014
Processing generation 425000; best fitness = 0.928109597014
Processing generation 426000; best fitness = 0.92812476566
Processing generation 427000; best fitness = 0.92812476566
Processing generation 428000; best fitness = 0.928409120941
Processing generation 429000; best fitness = 0.928409120941
Processing generation 430000; best fitness = 0.928409120941
Processing generation 431000; best fitness = 0.928641524257
Processing generation 432000; best fitness = 0.932192587209
Processing generation 433000; best fitness = 0.932196726134
Processing generation 434000; best fitness = 0.932196726134
Processing generation 435000; best fitness = 0.932198195273
Processing generation 436000; best fitness = 0.93222107524
Processing generation 437000; best fitness = 0.93222107524
Processing generation 438000; best fitness = 0.93222107524
Processing generation 439000; best fitness = 0.93222107524
Processing generation 440000; best fitness = 0.932249140783
Processing generation 441000; best fitness = 0.932419402825
Processing generation 442000; best fitness = 0.932419402825
Processing generation 443000; best fitness = 0.93308009606
Processing generation 444000; best fitness = 0.93308009606
Processing generation 445000; best fitness = 0.933509912602
Processing generation 446000; best fitness = 0.933509912602
Processing generation 447000; best fitness = 0.93401350633
Processing generation 448000; best fitness = 0.934027124637
Processing generation 449000; best fitness = 0.934069859713
Processing generation 450000; best fitness = 0.934138219019
Processing generation 451000; best fitness = 0.934138219019
Processing generation 452000; best fitness = 0.934138219019
Processing generation 453000; best fitness = 0.936959630372
Processing generation 454000; best fitness = 0.936959630372
Processing generation 455000; best fitness = 0.936959630372
Processing generation 456000; best fitness = 0.937019338662
Processing generation 457000; best fitness = 0.93702337574
Processing generation 458000; best fitness = 0.937048076648
Processing generation 459000; best fitness = 0.93780418186
Processing generation 460000; best fitness = 0.939016748902
Processing generation 461000; best fitness = 0.93942244833
Processing generation 462000; best fitness = 0.93942244833
Processing generation 463000; best fitness = 0.939644523452
Processing generation 464000; best fitness = 0.939799089538
Processing generation 465000; best fitness = 0.939799089538
Processing generation 466000; best fitness = 0.939799089538
Processing generation 467000; best fitness = 0.939799089538
Processing generation 468000; best fitness = 0.939854346544
Processing generation 469000; best fitness = 0.939854346544
Processing generation 470000; best fitness = 0.939854346544
Processing generation 471000; best fitness = 0.939854346544
Processing generation 472000; best fitness = 0.939854346544
Processing generation 473000; best fitness = 0.939854346544
Processing generation 474000; best fitness = 0.939854346544
Processing generation 475000; best fitness = 0.939854346544
Processing generation 476000; best fitness = 0.939859986388
Processing generation 477000; best fitness = 0.939859986388
Processing generation 478000; best fitness = 0.939859986388
Processing generation 479000; best fitness = 0.939859986388
Processing generation 480000; best fitness = 0.939859986388
Processing generation 481000; best fitness = 0.939859986388
Processing generation 482000; best fitness = 0.939886337595
Processing generation 483000; best fitness = 0.93990105834
Processing generation 484000; best fitness = 0.939916366079
Processing generation 485000; best fitness = 0.939916366079
