Processing generation 371000; best fitness = 1.18485449023
Processing generation 372000; best fitness = 1.18503386777
Processing generation 373000; best fitness = 1.1850536009
Processing generation 374000; best fitness = 1.18506808138
Processing generation 375000; best fitness = 1.18509793814
Processing generation 376000; best fitness = 1.18509793814
Processing generation 377000; best fitness = 1.18538275982
Processing generation 378000; best fitness = 1.18539579088
Processing generation 379000; best fitness = 1.18552881462
Processing generation 380000; best fitness = 1.18571001907
Processing generation 381000; best fitness = 1.1858377307
Processing generation 382000; best fitness = 1.18670154563
Processing generation 383000; best fitness = 1.18699580192
Processing generation 384000; best fitness = 1.18750773377
Processing generation 385000; best fitness = 1.18754341152
Processing generation 386000; best fitness = 1.18814730105
Processing generation 387000; best fitness = 1.18826554338
Processing generation 388000; best fitness = 1.1884848534
Processing generation 389000; best fitness = 1.18887743979
Processing generation 390000; best fitness = 1.18910364932
Processing generation 391000; best fitness = 1.18925074192
Processing generation 392000; best fitness = 1.1897486467
Processing generation 393000; best fitness = 1.18978105718
Processing generation 394000; best fitness = 1.19274319021
Processing generation 395000; best fitness = 1.19331898402
Processing generation 396000; best fitness = 1.19397509107
Processing generation 397000; best fitness = 1.19403978541
Processing generation 398000; best fitness = 1.19469175588
Processing generation 399000; best fitness = 1.1950376952
Processing generation 400000; best fitness = 1.19532042249
Processing generation 401000; best fitness = 1.19545876256
Processing generation 402000; best fitness = 1.19558937945
Processing generation 403000; best fitness = 1.19591199171
Processing generation 404000; best fitness = 1.19591599102
Processing generation 405000; best fitness = 1.19605932072
Processing generation 406000; best fitness = 1.19614820034
Processing generation 407000; best fitness = 1.19617026991
Processing generation 408000; best fitness = 1.19634368447
Processing generation 409000; best fitness = 1.19644868054
Processing generation 410000; best fitness = 1.19654278614
Processing generation 411000; best fitness = 1.19672487187
Processing generation 412000; best fitness = 1.19681315289
Processing generation 413000; best fitness = 1.19685665313
Processing generation 414000; best fitness = 1.19729476634
Processing generation 415000; best fitness = 1.19736178819
Processing generation 416000; best fitness = 1.19807989443
Processing generation 417000; best fitness = 1.19811167132
Processing generation 418000; best fitness = 1.19825448542
Processing generation 419000; best fitness = 1.19828740453
Processing generation 420000; best fitness = 1.19851530417
Processing generation 421000; best fitness = 1.1985464932
Processing generation 422000; best fitness = 1.19897570218
Processing generation 423000; best fitness = 1.19900188549
Processing generation 424000; best fitness = 1.19901961966
Processing generation 425000; best fitness = 1.19909522691
Processing generation 426000; best fitness = 1.19915551121
Processing generation 427000; best fitness = 1.19930242911
Processing generation 428000; best fitness = 1.19930446268
Processing generation 429000; best fitness = 1.19947328889
Processing generation 430000; best fitness = 1.19985399243
Processing generation 431000; best fitness = 1.20005389618
Processing generation 432000; best fitness = 1.20020120316
Processing generation 433000; best fitness = 1.2002552748
Processing generation 434000; best fitness = 1.20038539955
Processing generation 435000; best fitness = 1.20045033319
Processing generation 436000; best fitness = 1.20052839394
Processing generation 437000; best fitness = 1.2006459537
Processing generation 438000; best fitness = 1.20071704204
Processing generation 439000; best fitness = 1.20128281365
Processing generation 440000; best fitness = 1.201314021
Processing generation 441000; best fitness = 1.20132250689
Processing generation 442000; best fitness = 1.20132438807
Processing generation 443000; best fitness = 1.20132786991
Processing generation 444000; best fitness = 1.20136170737
Processing generation 445000; best fitness = 1.20153335498
Processing generation 446000; best fitness = 1.20169221844
Processing generation 447000; best fitness = 1.20174985089
Processing generation 448000; best fitness = 1.20292224626
Processing generation 449000; best fitness = 1.20293749053
Processing generation 450000; best fitness = 1.20296346285
