Processing generation 342000; best fitness = 1.26457433682
Processing generation 343000; best fitness = 1.26461816068
Processing generation 344000; best fitness = 1.26470793219
Processing generation 345000; best fitness = 1.26513817765
Processing generation 346000; best fitness = 1.26532509518
Processing generation 347000; best fitness = 1.26555880077
Processing generation 348000; best fitness = 1.26556657754
Processing generation 349000; best fitness = 1.26562417287
Processing generation 350000; best fitness = 1.26585652435
Processing generation 351000; best fitness = 1.26586630373
Processing generation 352000; best fitness = 1.2659726934
Processing generation 353000; best fitness = 1.26600473122
Processing generation 354000; best fitness = 1.26603118707
Processing generation 355000; best fitness = 1.26608586278
Processing generation 356000; best fitness = 1.26627983163
Processing generation 357000; best fitness = 1.26628746295
Processing generation 358000; best fitness = 1.26629971708
Processing generation 359000; best fitness = 1.26630554826
Processing generation 360000; best fitness = 1.26632174711
Processing generation 361000; best fitness = 1.26633511632
Processing generation 362000; best fitness = 1.26645355105
Processing generation 363000; best fitness = 1.26650326376
Processing generation 364000; best fitness = 1.26650597944
Processing generation 365000; best fitness = 1.26650841654
Processing generation 366000; best fitness = 1.26653715848
Processing generation 367000; best fitness = 1.26665079732
Processing generation 368000; best fitness = 1.26667577318
Processing generation 369000; best fitness = 1.26686590871
Processing generation 370000; best fitness = 1.26690732836
Processing generation 371000; best fitness = 1.26695774962
Processing generation 372000; best fitness = 1.26702112983
Processing generation 373000; best fitness = 1.26705955338
Processing generation 374000; best fitness = 1.26711556796
Processing generation 375000; best fitness = 1.26712945143
Processing generation 376000; best fitness = 1.26717143368
Processing generation 377000; best fitness = 1.26733386421
Processing generation 378000; best fitness = 1.26747468658
Processing generation 379000; best fitness = 1.26749527303
Processing generation 380000; best fitness = 1.26753574992
Processing generation 381000; best fitness = 1.26755057906
Processing generation 382000; best fitness = 1.26755720048
Processing generation 383000; best fitness = 1.26758204487
Processing generation 384000; best fitness = 1.26758283575
Processing generation 385000; best fitness = 1.26758939845
Processing generation 386000; best fitness = 1.26762418882
Processing generation 387000; best fitness = 1.26773894168
Processing generation 388000; best fitness = 1.2678052056
Processing generation 389000; best fitness = 1.26780534057
Processing generation 390000; best fitness = 1.2678261867
Processing generation 391000; best fitness = 1.26788603
Processing generation 392000; best fitness = 1.26790806983
Processing generation 393000; best fitness = 1.26797787081
Processing generation 394000; best fitness = 1.26801522072
Processing generation 395000; best fitness = 1.26813562614
Processing generation 396000; best fitness = 1.26817048327
Processing generation 397000; best fitness = 1.26821745699
Processing generation 398000; best fitness = 1.26823000417
Processing generation 399000; best fitness = 1.26823731886
Processing generation 400000; best fitness = 1.268275283
Processing generation 401000; best fitness = 1.26830289539
Processing generation 402000; best fitness = 1.26832782057
Processing generation 403000; best fitness = 1.26861684128
Processing generation 404000; best fitness = 1.26895282263
Processing generation 405000; best fitness = 1.26904632489
Processing generation 406000; best fitness = 1.26906538876
Processing generation 407000; best fitness = 1.26909652937
Processing generation 408000; best fitness = 1.26921581898
Processing generation 409000; best fitness = 1.2692510853
Processing generation 410000; best fitness = 1.26926589341
Processing generation 411000; best fitness = 1.26960133882
Processing generation 412000; best fitness = 1.26961915817
Processing generation 413000; best fitness = 1.26975746777
Processing generation 414000; best fitness = 1.26977273485
Processing generation 415000; best fitness = 1.26980710536
Processing generation 416000; best fitness = 1.26997649044
Processing generation 417000; best fitness = 1.26998722001
Processing generation 418000; best fitness = 1.26998722001
Processing generation 419000; best fitness = 1.27005218932
Processing generation 420000; best fitness = 1.27005320971
Processing generation 421000; best fitness = 1.27006436991
Processing generation 422000; best fitness = 1.27007372514
Processing generation 423000; best fitness = 1.27009745918
Processing generation 424000; best fitness = 1.27012386191
Processing generation 425000; best fitness = 1.270124252
Processing generation 426000; best fitness = 1.2702218802
Processing generation 427000; best fitness = 1.27022237222
